"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Volume","Price","Change"
1,"BFI","BurgerFi International Inc","Consumer Cyclical","Restaurants","USA",11.52,,313358450,0.42,97.33%
2,"YIBO","Planet Image International Ltd","Technology","Computer Hardware","China",157.06,20.20,249533,2.91,53.43%
3,"CREV","Carbon Revolution Public Ltd. Co.","Consumer Cyclical","Auto Parts","Ireland",17.10,433.01,8044810,9.05,46.68%
4,"COUR","Coursera Inc","Consumer Defensive","Education & Training Services","USA",1673.50,,24928635,10.72,44.67%
5,"NWL","Newell Brands Inc","Consumer Defensive","Household & Personal Products","USA",3699.43,,26316766,8.91,40.54%
6,"EVRI","Everi Holdings Inc","Consumer Cyclical","Gambling","USA",1077.91,19.47,35459517,12.82,40.26%
7,"AEYE","AudioEye Inc","Technology","Software - Application","USA",316.57,,1364757,27.15,38.24%
8,"RGC","Regencell Bioscience Holdings Ltd","Healthcare","Drug Manufacturers - Specialty & Generic","Hong Kong",159.89,,2363600,12.29,34.91%
9,"HUDI","Huadi International Group Co Ltd","Basic Materials","Steel","China",43.49,13.26,1099041,3.05,29.78%
10,"LOOP","Loop Industries Inc","Basic Materials","Specialty Chemicals","Canada",84.62,,160124,1.78,29.45%
11,"ESLA","Estrella Immunopharma Inc","Healthcare","Biotechnology","USA",80.40,,3950217,2.21,29.24%
12,"DOUG","Douglas Elliman Inc","Real Estate","Real Estate Services","USA",159.58,,5810050,1.74,28.89%
13,"SGMO","Sangamo Therapeutics Inc","Healthcare","Biotechnology","USA",179.48,,123552222,0.86,28.71%
14,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",20.62,,6312441,0.19,26.41%
15,"MMM","3M Co.","Industrials","Conglomerates","USA",70365.26,75.19,32728815,127.16,22.99%
16,"PSNL","Personalis Inc","Healthcare","Diagnostics & Research","USA",179.19,,1867980,3.45,20.63%
17,"KARO","Karooooo Ltd","Technology","Software - Application","Singapore",1071.73,25.10,117754,34.74,20.63%
18,"MHK","Mohawk Industries, Inc.","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",10262.94,,3436241,160.71,19.49%
19,"IGT","International Game Technology PLC","Consumer Cyclical","Gambling","United Kingdom",4792.75,22.56,6332530,23.77,17.91%
20,"NXGL","Nexgel Inc","Healthcare","Medical Instruments & Supplies","USA",19.56,,310377,3.14,17.82%
21,"KNSL","Kinsale Capital Group Inc","Financial","Insurance - Property & Casualty","USA",10324.22,27.87,504939,443.29,17.51%
22,"LUMO","Lumos Pharma Inc","Healthcare","Biotechnology","USA",14.62,,107193,1.80,16.88%
23,"CHTR","Charter Communications Inc.","Communication Services","Telecom Services","USA",52948.31,11.72,4962660,367.62,16.62%
24,"WBUY","Webuy Global Ltd","Consumer Cyclical","Internet Retail","Singapore",12.17,,14857520,0.17,14.74%
25,"CABO","Cable One Inc","Communication Services","Telecom Services","USA",2219.96,9.04,253835,395.01,14.61%
26,"LFVN","Lifevantage Corporation","Consumer Defensive","Packaged Foods","USA",101.85,28.69,141118,8.02,14.57%
27,"TCS","Container Store Group Inc","Consumer Cyclical","Specialty Retail","USA",61.90,,4403174,1.20,14.29%
28,"OCEA","Ocean Biomedical Inc.","Healthcare","Biotechnology","USA",44.35,,590059,1.28,14.29%
29,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",24.28,,22949725,6.39,13.30%
30,"ASTS","AST SpaceMobile Inc","Technology","Communication Equipment","USA",2851.43,,24629981,18.84,13.22%
31,"CGTX","Cognition Therapeutics Inc","Healthcare","Biotechnology","USA",94.94,,5300380,2.37,12.86%
32,"CLLS","Cellectis ADR","Healthcare","Biotechnology","France",165.81,,408007,2.30,12.20%
33,"AVTR","Avantor Inc.","Basic Materials","Specialty Chemicals","USA",17389.31,48.35,21724923,25.60,12.18%
34,"COLB","Columbia Banking System, Inc.","Financial","Banks - Regional","USA",5651.17,11.93,5077370,26.99,11.58%
35,"BMY","Bristol-Myers Squibb Co.","Healthcare","Drug Manufacturers - General","USA",102267.20,,36628217,50.45,11.44%
36,"NSC","Norfolk Southern Corp.","Industrials","Railroads","USA",55849.47,31.25,2993352,247.22,10.91%
37,"RR","Richtech Robotics Inc.","Industrials","Specialty Industrial Machinery","USA",82.80,,12099163,1.25,10.62%
38,"ABTS","Abits Group Inc","Financial","Capital Markets","Hong Kong",19.66,,181922,0.55,10.60%
39,"WF","Woori Financial Group Inc ADR","Financial","Banks - Regional","South Korea",8889.75,5.14,140376,36.08,10.47%
40,"ZPTA","Zapata Computing Holdings Inc.","Technology","Software - Infrastructure","USA",19.02,,8886574,0.59,10.17%
41,"MEDS","Trxade Health Inc","Healthcare","Pharmaceutical Retailers","USA",18.03,,779413,12.79,9.97%
42,"SSTI","SoundThinking Inc","Technology","Software - Application","USA",192.87,,125549,15.08,9.91%
43,"CBAN","Colony Bankcorp, Inc.","Financial","Banks - Regional","USA",271.30,12.22,159645,15.45,9.11%
44,"FBIN","Fortune Brands Innovations Inc","Industrials","Building Products & Equipment","USA",9848.80,22.30,3359184,78.74,9.10%
45,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",490.46,,87724335,13.22,8.99%
46,"ERIE","Erie Indemnity Co.","Financial","Insurance Brokers","USA",19623.67,41.85,141795,421.38,8.74%
47,"GTX","Garrett Motion Inc","Consumer Cyclical","Auto Parts","Switzerland",1915.02,8.74,1888893,8.76,8.68%
48,"CNC","Centene Corp.","Healthcare","Healthcare Plans","USA",39010.55,13.87,9686486,73.10,8.46%
49,"HBI","Hanesbrands Inc","Consumer Cyclical","Apparel Manufacturing","USA",2158.58,,21755395,6.14,8.29%
50,"CVM","Cel-Sci Corp.","Healthcare","Biotechnology","USA",70.95,,58493095,1.31,8.26%
51,"CUZ","Cousins Properties Inc.","Real Estate","REIT - Office","USA",4144.29,69.95,2703780,27.24,8.18%
52,"APLM","Apollomics Inc","Healthcare","Biotechnology","USA",24.12,,2120087,0.22,8.13%
53,"ORN","Orion Group Holdings Inc","Industrials","Engineering & Construction","USA",280.62,,1250954,8.54,7.96%
54,"SWIM","Latham Group Inc","Industrials","Building Products & Equipment","USA",406.81,95.14,670195,3.52,7.65%
55,"TZOO","Travelzoo","Communication Services","Advertising Agencies","USA",131.66,10.83,186995,10.05,7.49%
56,"CLMT","Calumet Inc.","Energy","Oil & Gas E&P","USA",1129.45,,644346,13.15,7.43%
57,"MIRM","Mirum Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2042.14,,2409740,43.33,7.33%
58,"SATL","Satellogic Inc","Industrials","Aerospace & Defense","USA",109.61,,159545,1.21,7.08%
59,"LW","Lamb Weston Holdings Inc","Consumer Defensive","Packaged Foods","USA",8147.53,11.39,9806571,56.71,6.98%
60,"CYH","Community Health Systems, Inc.","Healthcare","Medical Care Facilities","USA",707.20,,4849883,5.09,6.93%
61,"FTAI","FTAI Aviation Ltd","Industrials","Rental & Leasing Services","USA",11291.16,,2386314,112.63,6.93%
62,"SWK","Stanley Black & Decker Inc","Industrials","Tools & Accessories","USA",14684.77,,3722722,95.43,6.54%
63,"WT","WisdomTree Inc","Financial","Asset Management","USA",1764.58,20.00,2622242,11.62,6.41%
64,"DECK","Deckers Outdoor Corp.","Consumer Cyclical","Footwear & Accessories","USA",22734.33,28.50,1302734,894.70,6.32%
65,"ALEX","Alexander & Baldwin Inc.","Real Estate","REIT - Retail","USA",1416.23,35.33,1427476,19.51,6.32%
66,"NOV","NOV Inc","Energy","Oil & Gas Equipment & Services","USA",7851.47,7.45,10994980,19.85,6.32%
67,"SSNC","SS&C Technologies Holdings Inc","Technology","Software - Application","USA",17878.76,26.21,2959802,72.29,6.28%
68,"KB","KB Financial Group Inc ADR","Financial","Banks - Regional","South Korea",24710.98,8.33,569808,64.56,6.20%
69,"BIVI","BioVie Inc","Healthcare","Biotechnology","USA",28.75,,1305253,0.47,6.19%
70,"DDC","DDC Enterprise Ltd.","Consumer Defensive","Packaged Foods","Hong Kong",11.79,,4456314,0.62,6.17%
71,"HHH","Howard Hughes Holdings Inc","Real Estate","Real Estate - Diversified","USA",3737.33,,608014,74.36,5.52%
72,"DOC","Healthpeak Properties Inc.","Real Estate","REIT - Healthcare Facilities","USA",15412.78,47.15,8948235,21.90,5.49%
73,"VLTO","Veralto Corp","Industrials","Pollution & Treatment Controls","USA",25887.16,32.79,3164701,104.87,5.28%
74,"EME","Emcor Group, Inc.","Industrials","Engineering & Construction","USA",16986.57,20.85,1229605,364.05,5.03%
75,"SRCE","1st Source Corp.","Financial","Banks - Regional","USA",1604.67,12.65,195934,65.47,4.94%
76,"HYZN","Hyzon Motors Inc","Consumer Cyclical","Auto Parts","USA",43.29,,6041280,0.16,4.84%
77,"RYAAY","Ryanair Holdings Plc ADR","Industrials","Airlines","Ireland",23346.64,13.39,2814370,102.42,4.79%
78,"CNTA","Centessa Pharmaceuticals plc ADR","Healthcare","Biotechnology","United Kingdom",1083.17,,822043,10.78,4.76%
79,"PFBC","Preferred Bank (Los Angeles, CA)","Financial","Banks - Regional","USA",1221.97,8.82,168334,91.26,4.68%
80,"TYL","Tyler Technologies, Inc.","Technology","Software - Application","USA",25079.00,122.30,584307,590.65,4.66%
81,"HNRA","HNR Acquisition Corp","Energy","Oil & Gas Integrated","USA",14.96,,105710,2.70,4.65%
82,"EW","Edwards Lifesciences Corp","Healthcare","Medical Devices","USA",37584.16,25.67,14108738,62.37,4.47%
83,"UPC","Universe Pharmaceuticals INC","Healthcare","Drug Manufacturers - Specialty & Generic","China",13.65,,630335,3.74,4.47%
84,"AOMR","Angel Oak Mortgage REIT Inc","Real Estate","REIT - Mortgage","USA",307.00,6.68,477941,12.28,4.42%
85,"DK","Delek US Holdings Inc","Energy","Oil & Gas Refining & Marketing","USA",1534.63,,2229219,23.93,4.41%
86,"UHS","Universal Health Services, Inc.","Healthcare","Medical Care Facilities","USA",14302.27,15.67,1474261,213.69,4.24%
87,"KROS","Keros Therapeutics Inc","Healthcare","Biotechnology","USA",1887.71,,906450,52.32,4.04%
88,"SLRN","Acelyrin Inc","Healthcare","Biotechnology","USA",693.21,,1906251,7.00,4.01%
89,"ALSN","Allison Transmission Holdings Inc","Consumer Cyclical","Auto Parts","USA",7677.24,11.41,1466937,87.76,3.97%
90,"BFST","Business First Bancshares Inc.","Financial","Banks - Regional","USA",668.61,10.80,130632,26.22,3.97%
91,"DOYU","DouYu International Holdings Ltd ADR","Communication Services","Internet Content & Information","China",561.89,,1035335,17.57,3.90%
92,"TECK","Teck Resources Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",24655.02,23.08,8553768,47.45,3.83%
